1,"行く","いく","go","Verb","2","日曜日は図書館に行きます。","にちようび は としょかん に いきます。","I go to the library on Sundays.","私は夏休みにプールに行った。","わたし は なつやすみ に プール に いった。","I went to the pool during summer vacation.","C1K-P01-001.mp3","C1K-P01-002.mp3","C1K-P01-003.mp3"
2,"見る","みる","see, look at","Verb","2","私は絵を見るのが好きです。","わたし は え を みる の が すき です。","I like looking at pictures.","仕事のあと、映画を見た。","しごと の あと、 えいが を みた。","I saw a movie after work.","C1K-P01-004.mp3","C1K-P01-005.mp3","C1K-P01-006.mp3"
3,"多い","おおい","a lot of, many","Adjective","2","京都にはお寺が多い。","きょうと に は おてら が おおい。","There are a lot of temples in Kyoto.","この道は車が多い。","この みち は くるま が おおい。","There are many cars on this road.","C1K-P01-007.mp3","C1K-P01-008.mp3","C1K-P01-009.mp3"
4,"家","うち","home, household","Noun","2","家に遊びにきてください。","うち に あそび に きて ください。","Please come over to my home.","夏休みにお祖母ちゃんの家へ行きました。","なつやすみ に おばあちゃん の うち へ いきました。","I went to my grandma's house during summer vacation.","C1K-P01-010.mp3","C1K-P01-011.mp3","C1K-P01-012.mp3"
5,"これ","これ","this, this one","Pronoun","2","これをください。","これ を ください。","I'll have this please.","これはあなたの鞄ですか。","これ は あなた の かばん です か。","Is this your bag?","C1K-P01-013.mp3","C1K-P01-014.mp3","C1K-P01-015.mp3"
6,"それ","それ","that, that one","Pronoun","2","それはとてもいい話だ。","それ は とても いい はなし だ。","That's a really nice story.","それを一つください。","それ を ひとつ ください。","Please give me that one.","C1K-P01-016.mp3","C1K-P01-017.mp3","C1K-P01-018.mp3"
7,"私","わたし","I (general)","Pronoun","2","私が行きましょう。","わたし が いきましょう。","I'll go.","私は毎朝コーヒーを飲みます。","わたし は まいあさ コーヒー を のみます。","I drink coffee every morning.","C1K-P01-019.mp3","C1K-P01-020.mp3","C1K-P01-021.mp3"
8,"仕事","しごと","work, job","Verbal Noun","2","3月は仕事が忙しい。","3 がつ は しごと が いそがしい。","I'm busy at work in March.","仕事のあと、映画を見た。","しごと の あと、 えいが を みた。","I saw a movie after work.","C1K-P01-022.mp3","C1K-P01-023.mp3","C1K-P01-024.mp3"
9,"いつ","いつ","when","Interrogative","2","彼女はいつ来ますか。","かのじょ は いつ きます か。","When is she coming?","次はいつ会いましょうか。","つぎ は いつ あいましょう か。","When shall we meet again?","C1K-P01-025.mp3","C1K-P01-026.mp3","C1K-P01-027.mp3"
10,"する","する","do, make","Verb","2","友達と一緒に宿題をした。","ともだち と いっしょ に しゅくだい を した。","I did my homework with my friend.","男の子たちがサッカーをしている。","おとこのこ たち が サッカー を して いる 。","The boys are playing soccer.","C1K-P01-028.mp3","C1K-P01-029.mp3","C1K-P01-030.mp3"
11,"出る","でる","go out, leave","Verb","2","今朝は早く家を出ました。","けさ は はやく いえ を でました。","I left the house early this morning.","今日は5時に会社を出ます。","きょう は 5 じ に かいしゃ を でます。","I'll leave the office at five today.","C1K-P01-031.mp3","C1K-P01-032.mp3","C1K-P01-033.mp3"
12,"使う","つかう","use, make use of","Verb","2","このパソコンを使ってください。","この パソコン を つかって ください。","Please use this computer.","彼女は辞書をよく使います。","かのじょ は じしょ を よく つかいます。","She often uses a dictionary.","C1K-P01-034.mp3","C1K-P01-035.mp3","C1K-P01-036.mp3"
13,"所","ところ","place","Noun","2","私は友達の所に泊まった。","わたし は ともだち の ところ に とまった。","I stayed at my friend's place for the night.","今年の夏休みには静かな所へ行きたい。","ことし の なつやすみ に は しずかな ところ へ いきたい。","I want to go to a quiet place this summer vacation.","C1K-P01-037.mp3","C1K-P01-038.mp3","C1K-P01-039.mp3"
14,"作る","つくる","make, create","Verb","2","今、朝ご飯を作っています。","いま、あさ ごはん を つくって います。","I'm making breakfast now.","母がコーンスープを作っている。","はは が コーン スープ を つくって いる。","My mother is making some corn chowder.","C1K-P01-040.mp3","C1K-P01-041.mp3","C1K-P01-042.mp3"
15,"思う","おもう","think","Verb","2","私もそう思います。","わたし も そう おもいます。","I think so, too.","あなたはどう思いますか。","あなた は どう おもいます か。","What do you think?","C1K-P01-043.mp3","C1K-P01-044.mp3","C1K-P01-045.mp3"
16,"持つ","もつ","have, possess","Verb","2","私は車を持っています。","わたし は くるま を もって います。","I have a car.","私は黒いバッグを持っています。","わたし は くろい バッグ を もって います。","I have a black bag.","C1K-P01-046.mp3","C1K-P01-047.mp3","C1K-P01-048.mp3"
17,"買う","かう","buy","Verb","2","郵便局で切手を買いました。","ゆうびんきょく で きって を かいました。","I bought a stamp at the post office.","本を1冊買いました。","ほん を 1 さつ かいました。","I bought one book.","C1K-P01-049.mp3","C1K-P01-050.mp3","C1K-P01-051.mp3"
18,"時間","じかん","time, hour","Noun","2","今は時間がありません。","いま は じかん が ありません。","I don't have time now.","まだ学校へ行くには早い時間です。","まだ がっこう へ いく に は はやい じかん です。","It's still too early to go to school.","C1K-P01-052.mp3","C1K-P01-053.mp3","C1K-P01-054.mp3"
19,"知る","しる","know","Verb","2","誰もその話を知らない。","だれ も その はなし を しらない。","No one knows that story.","あの女の子を知っていますか。","あの おんなのこ を しって います か。","Do you know that girl?","C1K-P01-055.mp3","C1K-P01-056.mp3","C1K-P01-057.mp3"
20,"同じ","おなじ","same, identical","Adjectival Noun","2","彼の日本語のレベルは私と同じくらいだ。","かれ の にほん ご の レベル は わたし と おなじ くらい だ。","His Japanese level is about the same as mine.","いとこと私は同じ年です。","いとこ と わたし は おなじ とし です。","My cousin and I are the same age.","C1K-P01-058.mp3","C1K-P01-059.mp3","C1K-P01-060.mp3"
21,"今","いま","now","Adverb","2","彼は今、勉強しています。","かれ は いま、べんきょう して います。","He's studying now.","今ホテルに着きました。","いま ホテル に つきました。","I've just arrived at the hotel.","C1K-P01-061.mp3","C1K-P01-062.mp3","C1K-P01-063.mp3"
22,"新しい","あたらしい","new","Adjective","2","彼の車は新しい。","かれ の くるま は あたらしい。","His car is new.","新しいテーブルを買いました。","あたらしい テーブル を かいました。","I bought a new table.","C1K-P01-064.mp3","C1K-P01-065.mp3","C1K-P01-066.mp3"
23,"なる","なる","become","Verb","2","彼は医者になりました。","かれ は いしゃ に なりました。","He became a doctor.","私は日本語の先生になりたいです。","わたし は にほん ご の せんせい に なりたい です。","I want to become a Japanese teacher.","C1K-P01-067.mp3","C1K-P01-068.mp3","C1K-P01-069.mp3"
24,"まだ","まだ","(not) yet, still","Adverb","2","宿題はまだ終わっていません。","しゅくだい は まだ おわって いません。","I haven't finished my homework yet.","彼はまだ若いです。","かれ は まだ わかい です。","He's still young.","C1K-P01-070.mp3","C1K-P01-071.mp3","C1K-P01-072.mp3"
25,"あと","あと","after","Noun","2","仕事のあと、映画を見た。","しごと の あと、 えいが を みた。","I saw a movie after work.","このあと、時間がありますか。","この あと、じかん が あります か。","Do you have time after this?","C1K-P01-073.mp3","C1K-P01-074.mp3","C1K-P01-075.mp3"
26,"聞く","きく","hear, ask, listen","Verb","2","彼女はラジオを聞いています。","かのじょ は ラジオ を きいて います。","She's listening to the radio.","誰かに聞いてみてください。","だれ か に きいて みて ください。","Please ask someone.","C1K-P01-076.mp3","C1K-P01-077.mp3","C1K-P01-078.mp3"
