1,"日","SUN; DAY; JAPAN",
2,"一","ONE",
3,"二","TWO",
4,"三","THREE",
5,"十","TEN",
6,"四","FOUR",
7,"五","FIVE",
8,"六","SIX",
9,"七","SEVEN",
10,"八","EIGHT",
11,"九","NINE",
12,"丸","ROUND",
13,"円","CIRCLE; YEN",
14,"○","ZERO, placeholder; CIRCLE MARK; blank",
15,"人","HUMAN BEING",
16,"百","HUNDRED",
17,"千","THOUSAND",
18,"万","TEN THOUSAND",
19,"口","MOUTH",
20,"田","RICE FIELD",
21,"目","EYE; ITEM; subdivision; order",
22,"川","RIVER",
23,"月","MOON; MONTH",
24,"明","BRIGHT, cheerful; CLEAR",
25,"曜","DAY OF THE WEEK",
26,"火","FIRE",
27,"水","WATER",
28,"木","TREE; WOOD",
29,"金","METAL; GOLD; MONEY",
30,"土","SOIL, land",
31,"本","BASIS; BOOK; THIS","origin, root"
32,"東","EAST",
33,"大","BIG; UNIVERSITY",
34,"小","SMALL",
35,"中","MIDDLE; IN; CHINA","throughout"
36,"生","LIFE; BE BORN; STUDENT","grow; give birth to"
37,"山","MOUNTAIN",
38,"出","GO OUT; PUT OUT",
39,"入","ENTER; PUT IN",
40,"下","DOWN","lower, below"
41,"上","UP","rise, raise, above"
42,"止","STOP",
43,"正","RIGHT","upright, correct, exact"
44,"足","FOOT; SUFFICE","leg; step"
45,"定","FIX","decide, settle"
46,"手","HAND; PERFORMER OF AN ACTION","arm; labor; skill; -er"
47,"用","EMPLOY; THINGS TO DO","use; business"
48,"無","WITHOUT; NOTHING","nonexistence or lack"
49,"不","NOT","negation: un-"
50,"回","TURN ROUND; TIME",
51,"言","SAY; SPEECH","word"
52,"舌","TONGUE",
53,"話","SPEAK",
54,"活","ACTIVE; LIVE","lead one's life"
55,"行","GO; ACT; LINE [of print]","proceed; perform"
56,"心","HEART","mind, center, core"
57,"耳","EAR",
58,"又","AGAIN; OR","also; in other words"
59,"取","TAKE",
60,"身","BODY; ONE'S PERSON; SOCIAL POSITION",
61,"休","(TO) REST","suspend"
62,"体","BODY; FORM",
63,"信","BELIEVE; MESSAGE","trust; signal"
64,"付","ATTACH","be attached to; hand over"
65,"受","RECEIVE","accept"
66,"以","TO THE … OF; BY MEANS OF",
67,"立","STAND; ESTABLISH",
68,"部","SECTION","division, department"
69,"倍","TIMES; DOUBLE","-fold"
70,"成","BECOME; ACHIEVE","form"
71,"代","REPLACE; GENERATION; CHARGE","substitute; age; fare)_x0011_"
72,"王","KING",
73,"玉","GEM","round or spherical object"
74,"宝","TREASURE",
75,"国","COUNTRY",
76,"白","WHITE",
77,"皇","EMPEROR",
78,"全","WHOLE","all"
79,"書","WRITE; BOOK",
80,"事","AFFAIR; ABSTRACT THING",
81,"自","SELF",
82,"貝","SHELLFISH",
83,"見","SEE",
84,"力","POWER","strength, force"
85,"刀","SWORD","one-edged"
86,"切","CUT","sharp"
87,"刃","BLADE",
88,"分","DIVIDE; PART; MINUTE",
89,"公","PUBLIC",
90,"別","SEPARATE; ANOTHER",
91,"長","LONG; CHIEF","senior"
92,"男","MAN",
93,"女","WOMAN",
94,"子","CHILD; NOUN SUFFIX","son; small object"
95,"好","LIKE; FAVORABLE",
96,"安","PEACEFUL; INEXPENSIVE",
97,"案","PROPOSAL","plan, idea"
98,"字","CHARACTER; LETTER",
99,"学","STUDY; SCHOOL",
100,"父","FATHER",
101,"文","WRITINGS; LETTER","learning, culture; script"
102,"交","INTERCOURSE; CROSS","association; intersect, interchange"
103,"校","SCHOOL; PROOFREAD",
104,"母","MOTHER",
105,"毎","EVERY; EACH",
106,"海","SEA",
107,"者","PERSON",
108,"工","MANUFACTURE; CONSTRUCTION","work[manship"
109,"式","FORM[ULA]; CEREMONY","style, manner; rite"
110,"弐","TWO","formal / in legal documents"
111,"武","MILITARY","warrior"
112,"糸","THREAD",
113,"前","BEFORE","ahead"
114,"後","AFTER","late, rear; behind"
115,"午","NOON; [sign of] THE HORSE",
116,"牛","CATTLE",
117,"年","YEAR",
118,"件","MATTER","case"
119,"条","ARTICLE","section, clause; strip"
120,"化","CHANGE INTO","convert"
121,"花","FLOWER",
122,"北","NORTH",
123,"比","COMPARE; PHONETIC [HI]","juxtapose, contrast, match"
124,"背","BACK","stature"
125,"車","VEHICLE; WHEEL","car"
126,"気","GAS; SPIRIT",
127,"汽","STEAM",
128,"性","NATURE; SEX; -ITY","innate quality; gender"
129,"畑","[cultivated] FIELD","one's speciality"
130,"青","BLUE","green"
131,"麦","WHEAT",
132,"素","ELEMENT; PLAIN","bare"
133,"毒","POISON",
134,"先","AHEAD [of]","previous"
135,"洗","WASH",
136,"元","ORIGIN",
137,"光","LIGHT","glow"
138,"去","GO AWAY","leave; go by, elapse"
139,"法","LAW; METHOD","way"
140,"走","RUN",
141,"当","THE PRESENT; HIT [the mark]","the said, this/that; correspond to; allot"
142,"思","THINK","feel; wish"
143,"早","EARLY; QUICK",
144,"草","GRASS",
145,"朝","MORNING; DYNASTY",
146,"潮","TIDE","morning …"
147,"形","SHAPE","material form"
148,"発","OPEN UP; EMIT; START","generate; issue; develop"
149,"廃","ABANDON; WASTE","abolish"
150,"音","SOUND",
151,"意","MIND; MEANING","thoughts; opinion; will; sense"
152,"作","MAKE; WORK","produce, cultivate; do"
153,"昨","YESTERDAY; LAST",
154,"雨","RAIN",
155,"電","ELECTRICITY",
156,"頁","PAGE",
157,"首","HEAD; NECK; LEADER",
158,"道","WAY",
159,"通","PASS [through]; COMMUNICATE",
160,"乳","MILK","breast"
161,"豆","BEAN","pea"
162,"頭","HEAD","top, beginning"
163,"予","IN ADVANCE",
164,"矛","HALBERD",
165,"預","DEPOSIT",
166,"句","PHRASE; HAIKU",
167,"旬","TEN-DAY PERIOD; BEST SEASON",
168,"勺","SHAKU [0.018 liters]",
169,"的","TARGET; ADJECTIVAL SUFFIX",
170,"約","PROMISE; SHORTEN; APPROXIMATELY","summarize"
171,"勿","DO NOT","not, never"
172,"物","THING","usu. physical"
173,"方","DIRECTION; WAY; SQUARE","side; locality; person; method"
174,"防","DEFEND AGAINST",
175,"面","FACE","facet; surface; mask"
176,"画","PICTURE; DRAW UP A PLAN","draw; kanji stroke"
177,"両","BOTH",
178,"岡","HILL",
179,"満","FULL","whole"
180,"顔","FACE",
181,"産","GIVE BIRTH; PRODUCE",
182,"同","SAME","similar"
183,"向","TURN TOWARD","direction; other side"
184,"尚","STILL (MORE); VALUE HIGHLY",
185,"高","HIGH; AMOUNT","tall; expensive; quantity"
186,"圧","PRESSURE","overwhelm"
187,"地","GROUND; PLACE","land"
188,"池","POND","reservoir"
189,"他","OTHER",
190,"集","GATHER","collect"
191,"進","ADVANCE",
192,"込","MOVE INWARD [into]; EMPHATIC VERBAL SUFFIX",
