1,"私","わたし","I",1,1
2,"私たち","わたしたち","We",1,2
3,,"あなた","You",1,3
4,"あの人","あのひと","That person",1,4
5,"あの方","あのかた","Polite equivalent of あのひと",1,5
6,,"みなさん","Everybody, all of you",1,6
7,,"～さん","Mr./Mrs. Title of respect added to a name",1,7
8,,"～ちゃん","Suffix added to child’s names instead of ～さん",1,8
9,,"～くん","Suffix often added to boy’s names",1,9
10,"～人","～じん","Suffix meaning nationality",1,10
11,"先生","せんせい","Teacher, instructor ( not used when referring to one’s own job)",1,11
12,"教師","きょうし","Teacher, instructor",1,12
13,"学生","がくせい","Student",1,13
14,"会社員","かいしゃいん","company employee",1,14
15,"社員","しゃいん","employee of…company (used with a company’s name)",1,15
16,"銀行員","ぎんこういん","bank employee",1,16
17,"医者","いしゃ","medical doctor",1,17
18,"研究者","けんきゅうしゃ","researcher, scholar",1,18
19,,"エンジニア","engineer",1,19
20,"大学","だいがく","university",1,20
21,"病院","びょういん","hospital",1,21
22,"電気","でんき","electricity, light",1,22
23,"誰","だれ（どなた）","who (どなた is the polite equivalent of だれ)",1,23
24,"～歳","―さい","― years old",1,24
25,"何歳","なんさい","how old (おいくつ is is the polite equivalent of  なんさい)",1,25
26,,"はい","yes",1,26
27,,"いいえ","no",1,27
28,"失礼ですが","しつれいですが","Excuse me, but",1,28
29,"お名前は","おなまえは？","May I have your name?",1,29
30,"初めて","はじめまして。","How do you do (lit. I’m meeting you for the first time. Usually used as the first phrase when introducing oneself)",1,30
31,"どうぞよろしく「お願いします」。","どうぞよろしく[おねがいします]。","Pleased to meet you. (lit. Please be nice to me. Usually used at the end of a self-introduction)",1,31
32,,"こちらは～さんです。","This is Mr./Ms/…",1,32
33,"～から来ました","～からきました。","I came (come) from…",1,33
34,,"アメリカ","USA",1,34
35,,"イギリス","U.K",1,35
36,,"インド","India",1,36
37,,"インドネシア","Indonesia",1,37
38,"韓国","かんこく","Korean",1,38
39,,"タイ","Thailand",1,39
40,"中国","ちゅうごく","China",1,40
41,,"ドイツ","Germany",1,41
42,"日本","にほん","Japan",1,42
43,,"フランス","France",1,43
44,,"ブラジル","Brazil",1,44
45,"桜大学","さくらだいがく","fictitious university",1,45
46,"富士大学","ふじだいがく","fictitious university",1,46
47,"ＩＭＣ ／ パワー電気／ブラジルエアー","ＩＭＣ ／ パワーでんき ／ブラジルエアー","fictitious company",1,47
48,,"ＡＫＣ","fictitious university",1,48
49,"神戸病院","こうべびょういん","fictitious hospital",1,49
50,"私","わたし","I",2,1
51,"私たち","わたしたち","We",2,2
52,,"あなた","You",2,3
53,"あの人","あのひと","That person",2,4
54,"あの方","あのかた","Polite equivalent of あのひと",2,5
55,,"みなさん","Everybody, all of you",2,6
56,,"～さん","Mr./Mrs. Title of respect added to a name",2,7
57,,"～ちゃん","Suffix added to child’s names instead of ～さん",2,8
58,,"～くん","Suffix often added to boy’s names",2,9
59,"～人","～じん","Suffix meaning nationality",2,10
60,"先生","せんせい","Teacher, instructor ( not used when referring to one’s own job)",2,11
61,"教師","きょうし","Teacher, instructor",2,12
62,"学生","がくせい","Student",2,13
63,"会社員","かいしゃいん","company employee",2,14
64,"社員","しゃいん","employee of…company (used with a company’s name)",2,15
65,"銀行員","ぎんこういん","bank employee",2,16
66,"医者","いしゃ","medical doctor",2,17
67,"研究者","けんきゅうしゃ","researcher, scholar",2,18
68,,"エンジニア","engineer",2,19
69,"大学","だいがく","university",2,20
70,"病院","びょういん","hospital",2,21
71,"電気","でんき","electricity, light",2,22
72,"誰","だれ（どなた）","who (どなた is the polite equivalent of だれ)",2,23
73,"～歳","―さい","― years old",2,24
74,"何歳","なんさい","how old (おいくつ is is the polite equivalent of  なんさい)",2,25
75,,"はい","yes",2,26
76,,"いいえ","no",2,27
77,"失礼ですが","しつれいですが","Excuse me, but",2,28
78,"お名前は","おなまえは？","May I have your name?",2,29
79,"初めて","はじめまして。","How do you do (lit. I’m meeting you for the first time. Usually used as the first phrase when introducing oneself)",2,30
80,"どうぞよろしく「お願いします」。","どうぞよろしく[おねがいします]。","Pleased to meet you. (lit. Please be nice to me. Usually used at the end of a self-introduction)",2,31
81,,"こちらは～さんです。","This is Mr./Ms/…",2,32
82,"～から来ました","～からきました。","I came (come) from…",2,33
83,,"アメリカ","USA",2,34
84,,"イギリス","U.K",2,35
85,,"インド","India",2,36
86,,"インドネシア","Indonesia",2,37
87,"韓国","かんこく","Korean",2,38
88,,"タイ","Thailand",2,39
89,"中国","ちゅうごく","China",2,40
90,,"ドイツ","Germany",2,41
91,"日本","にほん","Japan",2,42
92,,"フランス","France",2,43
93,,"ブラジル","Brazil",2,44
94,"桜大学","さくらだいがく","fictitious university",2,45
95,"富士大学","ふじだいがく","fictitious university",2,46
96,"ＩＭＣ ／ パワー電気／ブラジルエアー","ＩＭＣ ／ パワーでんき ／ブラジルエアー","fictitious company",2,47
97,,"ＡＫＣ","fictitious university",2,48
98,"神戸病院","こうべびょういん","fictitious hospital",2,49
99,,"ここ","here, this place",3,1
100,,"そこ","there, that place near you",3,2
101,,"あそこ","that place over there",3,3
102,,"どこ","where, what place",3,4
103,,"こちら","this way, this place (the polite equivalent of ここ)",3,5
104,,"そちら","that way, that place near you (the polite equivalent of そこ)",3,6
105,,"あちら","that way, that place over there (the polite equivalent of あそこ)",3,7
106,,"どちら","which way, where (the polite equivalent of どこ)",3,8
107,"教室","きょうしつ","classroom",3,9
108,"食堂","しょくどう","the dining hall, canteen",3,10
109,"事務所","じむしょ","office",3,11
110,"会議室","かいぎしつ","conference room, assembly room",3,12
111,"受付","うけつけ","reception desk",3,13
112,,"ロビー","lobby",3,14
113,"部屋","へや","room",3,15
114,"（お手洗い）","トイレ（おてあらい）","toilet, rest room",3,16
115,"階段","かいだん","staircase",3,17
116,,"エレベーター","elevator, lift",3,18
117,,"エスカレーター","escalator",3,19
118,"[お]国","[お]くに","country",3,20
119,"会社","かいしゃ","company",3,21
120,,"うち","house, home",3,22
121,"電話","でんわ","telephone, telephone call",3,23
122,"靴","くつ","shoes",3,24
123,,"ネクタイ","necktie",3,25
124,,"ワイン","wine",3,26
125,,"たばこ","tobacco, cigarette",3,27
126,"売り場","うりば","department, counter (in a department store",3,28
127,"地下","ちか","basement",3,29
128,"－階","―かい（－がい）","-th floor",3,30
129,"何階","なんがい","what floor",3,31
130,"―円","―えん","-yen",3,32
131,,"いくら","how much",3,33
132,"百","ひゃく","hundred",3,34
133,"千","せん","thousand",3,35
134,"万","まん","ten thousand",3,36
135,,"すみません","Excuse me",3,37
136,,"～でございます","(the polite equivalent of です)",3,38
137,"[～を]見せてください","みせてください","Please show me [∼]",3,39
138,,"じゃ","well, then, in that case",3,40
139,,"[～を]ください","Give me [∼], please.",3,41
140,"新大阪","しんおおさか","name of a station in Osaka",3,42
141,,"イタリア","Italy",3,43
142,,"スイス","Switzerland",3,44
143,,"ＭＴ/ヨーネン/アキックス","fictitious companies",3,45
144,"起きます","おきます","get up, wake up",4,1
145,"寝ます","ねます","sleep, go to bed",4,2
146,"働きます","はたらきます","work",4,3
147,"休みます","やすみます","take a rest, take a holiday",4,4
148,"勉強します","べんきょうします","study",4,5
149,"終わります","おわります","finish",4,6
150,,"デパート","department store",4,7
151,"銀行","ぎんこう","bank",4,8
152,"郵便局","ゆうびんきょく","post office",4,9
153,"図書館","としょかん <","library",4,10
154,"美術館","びじゅつかん","art museum",4,11
155,"電話番号","でんわばんごう","telephone number",4,12
156,"何番","なんばん","what number",4,13
157,"今","いま","now",4,14
158,"～時","～じ","～o’clock",4,15
159,"～分","～ふん（～ぷん）","～minute",4,16
160,"半","はん","half",4,17
161,"何時","なんじ","what time",4,18
162,"何分","なんぷん","what minute",4,19
163,"午前","ごぜん","a.m, morning",4,20
164,"午後","ごご","p.m, afternoon",4,21
165,"朝","あさ","morning",4,22
166,"昼","ひる","daytime, noon",4,23
167,"晩","ばん","night, evening",4,24
168,"夜","よる","night, evening",4,25
169,,"おととい","the day before yesterday",4,26
170,,"きのう","yesterday",4,27
171,,"きょう","today",4,28
172,,"あした","tomorrow",4,29
173,,"あさって","the day after tomorrow",4,30
174,,"けさ","this morning",4,31
175,"今晩","こんばん","this evening, tonight",4,32
176,,"そちら","your place",4,33
177,"休み","やすみ","rest, holiday, a day off",4,34
178,"昼休み","ひるやすみ","lunchtime",4,35
179,"毎朝","まいあさ","every morning",4,36
180,"毎晩","まいばん","every night",4,37
181,"毎日","まいにち","everyday",4,38
182,"大変ですね","たいへんですね","That’s tough, isn’t it? (used when expressing sympathy)",4,39
183,,"ばんごうあんない","Directory assistance",4,40
184,"お問い合わせの番号","おといあわせのばんご","the number being inquired about",4,41
185,,"～を おねがいします","Please. (lit.ask for a favor)",4,42
186,,"かしこまりました","Certainly (sir, madam)",4,43
187,"月曜日","げつようび","Monday",4,44
188,"火曜日","かようび","Tuesday",4,45
189,"水曜日","すいようび","Wednesday",4,46
190,"木曜日","もくようび","Thursday",4,47
191,"金曜日","きんようび","Friday",4,48
192,"土曜日","どようび","Saturday",4,49
193,"日曜日","にちようび","Sunday",4,50
194,"何曜日","なんようび","What day of the week",4,51
195,,"～から","from～",4,52
196,,"～まで","to～",4,53
197,,"～と～","～and～",4,54
198,,"ニューヨーク","New York",4,55
199,,"ペキン","Beijing",4,56
200,,"ロンドン","London",4,57
201,,"バンコク","Bangkok",4,58
202,,"ロサンゼルス","Los Angeles",4,59
203,,"えーと","well, let me see",4,60
204,"行きます","いきます","go",5,1
205,"来ます","きます","come",5,2
206,"帰ります","かえります","go home, return",5,3
207,"学校","がっこう","school",5,4
208,,"スーパー","supermarket",5,5
209,"駅","えき","station",5,6
210,"飛行機","ひこうき","airplane",5,7
211,"船","ふね","ship",5,8
212,"電車","でんしゃ","electric train",5,9
213,"地下鉄","ちかてつ","subway, underground",5,10
214,"新幹線","しんかんせん","the Shinkansen, the bullet train",5,11
215,,"バス","bus",5,12
216,,"タクシー","taxi",5,13
217,"自転車","じてんしゃ","bicycle",5,14
218,"歩いて","あるいて（いきます）","on foot",5,15
219,"人","ひと","person, people",5,16
220,"友達","ともだち","friend",5,17
221,"彼","かれ","he, boyfriend, lover",5,18
222,"彼女","かのじょ","she, girlfriend, lover",5,19
223,"家族","かぞく","family",5,20
224,"一人で","ひとりで","alone, by oneself",5,21
225,"先週","せんしゅう","last week",5,22
226,"今週","こんしゅう","this week",5,23
227,"来週","らいしゅう","next week",5,24
228,"先月","せんげつ","last month",5,25
229,"来月","らいげつ","next month",5,26
230,"今月","こんげつ","this month",5,27
231,"去年","きょねん","last year",5,28
232,"今年","ことし","this year",5,29
233,"来年","らいねん","next year",5,30
234,"～月","～がつ","-th month of the year",5,31
235,"何月","なんがつ","what month",5,32
236,"一日","いちにち","-th day, -days",5,33
237,"何日","なんにち","which day of the month, how many days",5,34
238,,"いつ","when",5,35
239,"誕生日","たんじょうび","birthday",5,36
240,"普通","ふつう","local (train)",5,37
241,"急行","きゅうこう","rapid",5,
242,"特急","とっきゅう","express",5,39
243,"次の","つぎの","next",5,40
244,,"ありがとう ございました","Thank you",5,41
245,,"どう いたしまして","You’re welcome./ Don’t mention it`",5,42
246,"～番線","～ばんせん","platform -, – th platform",5,43
247,"１日","ついたち","the first day of the month",5,44
248,"2日","ふつか","the second, two days",5,45
249,"3日","みっか","the third day, three days",5,46
250,"4日","よっか","fourth, four days",5,47
251,"5日","いつか","fifth, five days",5,48
252,"6日","むいか","sixth, six days",5,49
253,"7日","なのか","seventh, seven days",5,50
254,"8日","ようか","eighth, eight days",5,51
255,"9日","ここのか","ninth, nine days",5,52
256,"10日","とおか","tenth, ten days",5,53
257,"14日","じゅうよっか","fourteenth, fourteen days",5,54
258,"20日","はつか","twentieth, twenty days",5,55
259,"24日","にじゅうよっか","twenty-fourth, twenty-four days",5,56
260,"吸います","すいます","smoke",6,1
261,,"たばこをすいます。","smoke a cigarette",6,2
262,"飲みます","のみます","drink",6,3
263,"食べます","たべます","eat",6,4
264,"見ます","みます","see, look at, watch",6,5
265,"聞きます","ききます","hear, listen",6,6
266,"読みます","よみます","read",6,7
267,"書きます","かきます","write, draw, paint",6,8
268,"買います","かいます","buy",6,9
269,"撮ります","とります","take [a photo]",6,10
270,"写真を撮りす。","しゃしんをとります。","take [a photo]",6,11
271,,"します","do",6,12
272,"会います","あいます","meet",6,13
273,"友達に会いす。","ともだちにあいます。","meet [a friend]",6,14
274,"ご飯","ごはん","a meal, cooked rice",6,15
275,"朝ご飯","あさごはん","breakfast",6,16
