1,いる,いる,to exist (living things),猫がいる,猫[ねこ]がいる,There's a cat.,,TRUE,[sound:JP1K_1_iru_word.mp3],[sound:JP1K_1_iru_sentence.mp3],
2,する,する,to do,宿題をする,宿題[しゅくだい]をする,I will do my homework.,,TRUE,[sound:JP1K_2_suru_word.mp3],[sound:JP1K_2_suru_sentence.mp3],
3,何,何[なに],what,何しているの？,何[なに]しているの?,What are you doing?,TRUE,TRUE,[sound:JP1K_3_nani_word.mp3],[sound:JP1K_3_nani_sentence.mp3],
4,これ,これ,this,これは何？,これは 何[なに]？,What's this?,,TRUE,[sound:JP1K_4_kore_word.mp3],[sound:JP1K_4_kore_sentence.mp3],
5,学校,学校[がっこう],school,これは私の学校だ,これは 私[わたし]の 学校[がっこう]だ,This is my school.,TRUE,TRUE,[sound:JP1K_5_gakkou_word.mp3],[sound:JP1K_5_gakkou_sentence.mp3],
6,行く,行[い]く,to go,これから学校に行く,これから 学校[がっこう]に 行[い]く,I'm going to school now.,TRUE,TRUE,[sound:JP1K_6_iku_word.mp3],[sound:JP1K_6_iku_sentence.mp3],
7,たくさん,たくさん,a lot,犬がたくさんいる,犬[いぬ]がたくさんいる,There are a lot of dogs.,,TRUE,[sound:JP1K_7_takusan_word.mp3],[sound:JP1K_7_takusan_sentence.mp3],
8,子供,子供[こども],"child, children",子供がたくさんいる,子供[こども]がたくさんいる,There are lots of kids.,TRUE,TRUE,[sound:JP1K_8_kodomo_word.mp3],[sound:JP1K_8_kodomo_sentence.mp3],
9,連れる,連[つ]れる,to take (a person along),子供を連れてデパートに行った,子供[こども]を 連[つ]れてデパートに 行[い]った,I took the kids to a department store.,TRUE,TRUE,[sound:JP1K_9_tsureru_word.mp3],[sound:JP1K_9_tsureru_sentence.mp3],
10,犬,犬[いぬ],dog,犬を散歩に連れて行く,犬[いぬ]を 散歩[さんぽ]に 連[つ]れて 行[い]く,I will take my dog on a walk.,TRUE,FALSE,[sound:JP1K_10_inu_word.mp3],[sound:JP1K_10_inu_sentence.mp3],
11,宿題,宿題[しゅくだい],homework,子供が宿題をしている,子供[こども]が 宿題[しゅくだい]をしている,The child is doing homework.,TRUE,TRUE,[sound:JP1K_11_shukudai_word.mp3],[sound:JP1K_11_shukudai_sentence.mp3],
12,私,私[わたし],I,私はアメリカから来た,私[わたし]はアメリカから 来[き]た,I'm from America.,TRUE,TRUE,[sound:JP1K_12_watashi_word.mp3],[sound:JP1K_12_watashi_sentence.mp3],
13,屋,屋[や],(something) shop,本屋さんに行きたい,本屋[ほんや]さんに 行[い]きたい,I want to go to the bookstore.,TRUE,FALSE,[sound:JP1K_13_ya_word.mp3],[sound:JP1K_13_ya_sentence.mp3],
14,ある,ある,to exist (inanimate objects),あそこに本屋さんがある,あそこに 本屋[ほんや]さんがある,There's a bookstore over there.,,TRUE,[sound:JP1K_14_aru_word.mp3],[sound:JP1K_14_aru_sentence.mp3],
