REFOLD_INDEX,WORD,READING,DEFINITION,WORD AUDIO
3,何,なに,what,[sound:JP1K_3_nani_word.mp3]
5,学校,がっこう,school,[sound:JP1K_5_gakkou_word.mp3]
6,行く,いく,to go,[sound:JP1K_6_iku_word.mp3]
8,子供,こども,"child, children",[sound:JP1K_8_kodomo_word.mp3]
9,連れる,つれる,to take (a person along),[sound:JP1K_9_tsureru_word.mp3]
10,犬,いぬ,dog,[sound:JP1K_10_inu_word.mp3]
11,宿題,しゅくだい,homework,[sound:JP1K_11_shukudai_word.mp3]
12,私,わたし,I,[sound:JP1K_12_watashi_word.mp3]
13,屋,や,(something) shop,[sound:JP1K_13_ya_word.mp3]
16,人,ひと,person,[sound:JP1K_16_hito_word.mp3]
17,教室,きょうしつ,classroom,[sound:JP1K_17_kyoushitsu_word.mp3]
19,鳴る,なる,"to sound, to ring",[sound:JP1K_19_naru1_word.mp3]
20,買う,かう,to buy,[sound:JP1K_20_kau_word.mp3]
21,本,ほん,book,[sound:JP1K_21_hon_word.mp3]
22,有名,ゆうめい,famous,[sound:JP1K_22_yuumei_word.mp3]
23,読む,よむ,to read,[sound:JP1K_23_yomu_word.mp3]
24,上がる,あがる,"to ascend, to go up, to be raised, to lift",[sound:JP1K_24_agaru_word.mp3]
25,成績,せいせき,grades (school),[sound:JP1K_25_seiseki_word.mp3]
27,言う,いう,"to say, speak",[sound:JP1K_27_iu_word.mp3]
29,問題,もんだい,"problem, question",[sound:JP1K_29_mondai_word.mp3]
30,考える,かんがえる,to think (about something),[sound:JP1K_30_kangaeru_word.mp3]
31,後,あと,"later, after",[sound:JP1K_31_ato_word.mp3]
32,毎日,まいにち,every day,[sound:JP1K_32_mainichi_word.mp3]
33,彼,かれ,"he, him",[sound:JP1K_33_kare_word.mp3]
34,来る,くる,to come,[sound:JP1K_34_kuru_word.mp3]
35,彼氏,かれし,boyfriend,[sound:JP1K_35_kareshi_word.mp3]
36,電話,でんわ,phone,[sound:JP1K_36_denwa_word.mp3]
37,集まる,あつまる,"to gather, to collect, to assemble",[sound:JP1K_37_atsumaru_word.mp3]
38,事,こと,"thing, matter",[sound:JP1K_38_koto_word.mp3]
39,好き,すき,"liking, fondness, love, being attractive (to)",[sound:JP1K_39_suki_word.mp3]
40,僕,ぼく,"I, me (male)",[sound:JP1K_40_boku_word.mp3]
41,勉強,べんきょう,study,[sound:JP1K_41_benkyou_word.mp3]
42,英語,えいご,english,[sound:JP1K_42_eigo_word.mp3]
43,教える,おしえる,"to teach, to tell",[sound:JP1K_43_oshieru_word.mp3]
44,分かる,わかる,"to understand, to comprehend",[sound:JP1K_44_wakaru_word.mp3]
45,手,て,hand,[sound:JP1K_45_te_word.mp3]
46,上げる,あげる,to raise,[sound:JP1K_46_ageru_word.mp3]
47,君,きみ,you,[sound:JP1K_47_kimi_word.mp3]
48,全然,ぜんぜん,not at all (with neg. verb),[sound:JP1K_48_zenzen_word.mp3]
49,友達,ともだち,"friend, companion",[sound:JP1K_49_tomodachi_word.mp3]
50,会う,あう,to meet,[sound:JP1K_50_au1_word.mp3]
51,生徒,せいと,"pupil, student",[sound:JP1K_51_seito_word.mp3]
52,兄,あに,older brother,[sound:JP1K_52_ani_word.mp3]
53,大学,だいがく,"university, college",[sound:JP1K_53_daigaku_word.mp3]
54,部,ぶ,"department, club",[sound:JP1K_54_bu_word.mp3]
55,方,ほう,"one side (of an argument, etc.)",[sound:JP1K_55_hou_word.mp3]
57,力,ちから,"strength, power",[sound:JP1K_57_chikara_word.mp3]
58,猫,ねこ,cat,[sound:JP1K_58_neko_word.mp3]
59,上,うえ,above,[sound:JP1K_59_ue_word.mp3]
60,置く,おく,"to put, to place",[sound:JP1K_60_oku_word.mp3]
61,色々,いろいろ,"various, all sorts of",[sound:JP1K_61_iroiro_word.mp3]
63,家,いえ,house,[sound:JP1K_63_ie_word.mp3]
64,美味しい,おいしい,delicious,[sound:JP1K_64_oishii_word.mp3]
65,遊ぶ,あそぶ,"to play, to hang out",[sound:JP1K_65_asobu_word.mp3]
66,明日,あした,tomorrow,[sound:JP1K_66_ashita_word.mp3]
67,料理,りょうり,"cooking, cuisine",[sound:JP1K_67_ryouri_word.mp3]
69,立つ,たつ,to stand,[sound:JP1K_69_tatsu1_word.mp3]
72,作る,つくる,"to create, to make",[sound:JP1K_72_tsukuru_word.mp3]
74,通る,とおる,to pass,[sound:JP1K_74_tooru_word.mp3]
75,高校,こうこう,high school,[sound:JP1K_75_koukou_word.mp3]
76,彼女,かのじょ,"she, her; girlfriend",[sound:JP1K_76_kanojo_word.mp3]
77,手伝う,てつだう,"to help, to assist",[sound:JP1K_77_tetsudau_word.mp3]
78,両親,りょうしん,parents,[sound:JP1K_78_ryoushin_word.mp3]
80,手紙,てがみ,letter,[sound:JP1K_80_tegami_word.mp3]
83,場所,ばしょ,"place, location",[sound:JP1K_83_basho_word.mp3]
85,様,さま,"Mr., Mrs., Ms. (very formal)",[sound:JP1K_85_sama_word.mp3]
87,数学,すうがく,mathematics,[sound:JP1K_87_suugaku_word.mp3]
88,解く,とく,"to untie, to unfasten, to solve",[sound:JP1K_88_toku_word.mp3]
89,難しい,むずかしい,"difficult, hard",[sound:JP1K_89_muzukashii_word.mp3]
91,中,なか,"middle, within",[sound:JP1K_91_naka1_word.mp3]
92,忙しい,いそがしい,busy,[sound:JP1K_92_isogashii_word.mp3]
93,仕事,しごと,"work, job",[sound:JP1K_93_shigoto_word.mp3]
94,疲れる,つかれる,"to get tired, to be worn out",[sound:JP1K_94_tsukareru_word.mp3]
95,休憩,きゅうけい,break (from doing something),[sound:JP1K_95_kyuukei_word.mp3]
96,取る,とる,to take,[sound:JP1K_96_toru_word.mp3]
97,任せる,まかせる,to entrust (a task) to another,[sound:JP1K_97_makaseru_word.mp3]
98,新しい,あたらしい,new,[sound:JP1K_98_atarashii_word.mp3]
99,前,まえ,"in front (of), before",[sound:JP1K_99_mae_word.mp3]
100,朝,あさ,morning,[sound:JP1K_100_asa_word.mp3]
101,降る,ふる,"to fall (rain, snow, etc)",[sound:JP1K_101_furu1_word.mp3]
102,日,ひ,day,[sound:JP1K_102_hi_word.mp3]
104,聞く,きく,to listen,[sound:JP1K_104_kiku_word.mp3]
105,先生,せんせい,teacher,[sound:JP1K_105_sensei_word.mp3]
106,今年,ことし,this year,[sound:JP1K_106_kotoshi_word.mp3]
107,冬,ふゆ,winter (season),[sound:JP1K_107_fuyu_word.mp3]
108,寒い,さむい,cold (weather),[sound:JP1K_108_samui_word.mp3]
109,誰,だれ,who,[sound:JP1K_109_dare_word.mp3]
110,店,みせ,"store, shop",[sound:JP1K_110_mise_word.mp3]
111,入る,はいる,to enter,[sound:JP1K_111_hairu_word.mp3]
112,本当,ほんとう,"really, truth",[sound:JP1K_112_hontou_word.mp3]
113,妹,いもうと,younger sister,[sound:JP1K_113_imouto_word.mp3]
114,買い物,かい 物[もの],shopping,[sound:JP1K_114_kaimono_word.mp3]
115,携帯,けいたい,cell phone,[sound:JP1K_115_keitai_word.mp3]
116,今日,きょう,today,[sound:JP1K_116_kyou_word.mp3]
117,暑い,あつい,hot (weather),[sound:JP1K_117_atsui1_word.mp3]
119,見る,みる,"to see, to look, to watch",[sound:JP1K_119_miru_word.mp3]
120,一緒,いっしょ,"together, at the same time",[sound:JP1K_120_issho_word.mp3]
121,映画,えいが,movie,[sound:JP1K_121_eiga_word.mp3]
122,面白い,おもしろい,"interesting, amusing",[sound:JP1K_122_omoshiroi_word.mp3]
123,周り,まわり,surroundings,[sound:JP1K_123_mawari_word.mp3]
125,知る,しる,"to know, to be aware of",[sound:JP1K_125_shiru_word.mp3]
128,名前,なまえ,"name, first name",[sound:JP1K_128_namae_word.mp3]
129,思い,おもい,"thought, feeling",[sound:JP1K_129_omoi1_word.mp3]
130,出す,だす,to take out,[sound:JP1K_130_dasu_word.mp3]
131,忘れる,わすれる,to forget,[sound:JP1K_131_wasureru_word.mp3]
132,恥ずかしい,はずかしい,"shameful, embarrassing",[sound:JP1K_132_hazukashii_word.mp3]
133,乾かす,かわかす,to dry,[sound:JP1K_133_kawakasu_word.mp3]
134,髪,かみ,hair (on the head),[sound:JP1K_134_kami1_word.mp3]
135,変わる,かわる,"to change, to be transformed, to be altered",[sound:JP1K_135_kawaru_word.mp3]
136,長い,ながい,"long (length, time)",[sound:JP1K_136_nagai_word.mp3]
137,足,あし,"leg, foot",[sound:JP1K_137_ashi_word.mp3]
138,強い,つよい,"strong, tough",[sound:JP1K_138_tsuyoi_word.mp3]
139,別,べつ,"separate, different",[sound:JP1K_139_betsu_word.mp3]
140,色,いろ,color,[sound:JP1K_140_iro_word.mp3]
142,歳,さい,age counter,[sound:JP1K_142_sai_word.mp3]
143,生きる,いきる,to live,[sound:JP1K_143_ikiru_word.mp3]
144,二人,ふたり,two people,[sound:JP1K_144_futari_word.mp3]
145,環境,かんきょう,environment,[sound:JP1K_145_kankyou_word.mp3]
146,息子,むすこ,son,[sound:JP1K_146_musuko_word.mp3]
147,受ける,うける,"to take (a test), to accept (a challenge), to receive",[sound:JP1K_147_ukeru_word.mp3]
148,授業,じゅぎょう,"lesson, class (school)",[sound:JP1K_148_jugyou_word.mp3]
149,終わる,おわる,"to finish, to end",[sound:JP1K_149_owaru_word.mp3]
150,俺,おれ,"I, me (male)",[sound:JP1K_150_ore_word.mp3]
152,待つ,まつ,to wait,[sound:JP1K_152_matsu_word.mp3]
153,椅子,いす,chair,[sound:JP1K_153_isu_word.mp3]
155,試合,しあい,"match, game",[sound:JP1K_155_shiai_word.mp3]
156,始まる,はじまる,"to begin, to start",[sound:JP1K_156_hajimaru_word.mp3]
157,年,とし,year,[sound:JP1K_157_toshi_word.mp3]
158,時,とき,when,[sound:JP1K_158_toki_word.mp3]
159,経つ,たつ,to elapse (time),[sound:JP1K_159_tatsu2_word.mp3]
160,最近,さいきん,"nowadays, recently",[sound:JP1K_160_saikin_word.mp3]
161,座る,すわる,to sit,[sound:JP1K_161_suwaru_word.mp3]
162,走る,はしる,to run,[sound:JP1K_162_hashiru_word.mp3]
163,必死,ひっし,"frantic, desperate",[sound:JP1K_163_hisshi_word.mp3]
164,机,つくえ,desk,[sound:JP1K_164_tsukue_word.mp3]
165,鉛筆,えんぴつ,pencil,[sound:JP1K_165_enpitsu_word.mp3]
166,子,こ,child,[sound:JP1K_166_ko_word.mp3]
167,運動,うんどう,exercise (physical),[sound:JP1K_167_undou_word.mp3]
169,夢,ゆめ,dream,[sound:JP1K_169_yume_word.mp3]
