上,"Above, Up, Over",じょう,"うえ, あ, のぼ, うわ, かみ","ト, 一",-,"toe, ground",,"""You find a <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">toe</span> on the <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">ground</span>. It's weird, because it's <span class=""""kanji-highlight"""" title=""""Kanji"""" rel=""""tooltip"""">above</span> the ground, not where toes belong.""","Focus your imagination on how body parts should be buried, not above ground like this. Sure, finding a toe is a little strange, but finding a toe above the ground? Downright silly.","""Of course when you find a toe <span class=""""kanji-highlight"""" title=""""Kanji"""" rel=""""tooltip"""">above</span> the ground, you want to know where the toe came from. When you examine it, you see a name written on there. This toe belongs to the local clumsy farmhand, <span class=""""reading-highlight"""" title=""""Reading"""" rel=""""tooltip"""">Jou</span>rm (<span lang=""""ja"""">じょう</span>).""","""Try to remember Jourm, the local farmhand. He is a recurring character that will come up anytime the reading for a kanji is <span lang=""""ja"""">じょう</span>.<br />He is a very big man, and he wears farmer's clothes. It's important to imagine your version of Jourm as very big, because it will help us to differentiate him from Jo-Anne, who is the character associated with the similar, but shorter reading (and character) <span lang=""""ja"""">じょ</span>. Although Jourm will develop as you go through all the <span lang=""""ja"""">じょう</span> reading kanji, for now just imagine him as a big, kinda slow dude who works for a local farmer. Also, he only has nine or fewer toes, apparently.""",27,kanji level1
下,"Below, Down, Under, Beneath","か, げ","した, さ, くだ, お","一, ト",-,"ground, toe",,"""There's a <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">toe</span> <span class=""""kanji-highlight"""" title=""""Kanji"""" rel=""""tooltip"""">below</span> <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">ground</span>.""","""So, where is the <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">toe</span> now? It's <span class=""""kanji-highlight"""" title=""""Kanji"""" rel=""""tooltip"""">below</span> ground. Imagine yourself digging it out, and thinking... ugh, why does it have to be <span class=""""kanji-highlight"""" title=""""Kanji"""" rel=""""tooltip"""">below</span> ground like this? So irritating. Will I be able to sew it back on in time to save it?""","""You keep digging for the <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">toe</span> <span class=""""kanji-highlight"""" title=""""Kanji"""" rel=""""tooltip"""">below</span> the <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">ground</span>, and instead of hitting a <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">toe</span> you hit something hard and metallic. You keep digging and digging around it, but it's huge. Turns out, you found yourself a <span class=""""reading-highlight"""" title=""""Reading"""" rel=""""tooltip"""">car</span> (<span lang=""""ja"""">か</span>). Keep digging until you unearth the car. Inside, you find the toe you were looking for.""","""There's another useful on'yomi reading that just isn't useful enough for you to learn now. That reading is <span lang=""""ja"""">げ</span>, but we're only going to worry about that much, much later when you have to learn one or two vocab words that read <span lang=""""ja"""">下</span> as <span lang=""""ja"""">げ</span>. That's the problem with really common kanji - too many readings.""",28,kanji level1
大,"Big, Large","たい, だい",おお,大,-,big,,"""The <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">big</span> radical and the <span class=""""kanji-highlight"""" title=""""Kanji"""" rel=""""tooltip"""">big</span> kanji are exactly the same!""","So, if you know the radical, you know the meaning of this kanji as well.","""There's this big guy (that's how you remember the radical, remember?), and he's wearing a huge <span class=""""reading-highlight"""" title=""""Reading"""" rel=""""tooltip"""">Tie Dye</span> (<span lang=""""ja"""">たい</span>, <span lang=""""ja"""">だい</span>) shirt. Because he's so huge, the tie dye shirt is also super huge. Everything about him is pretty big, but the tie dye stands out more than anything.""","When you look at the big guy in your head, imagine him covered in tie dye head to toe. Think about how ridiculous it looks on him, especially since he's such a big guy. Shirt. Sweatpants. Hat. Shoes... it goes on and on.",29,kanji level1
工,"Construction, Industry","こう, く",-,工,-,construction,,"""The <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">construction</span> radical and the <span class=""""kanji-highlight"""" title=""""Kanji"""" rel=""""tooltip"""">construction</span> kanji are the same!<br />This kanji also means <span class=""""kanji-highlight"""" title=""""Kanji"""" rel=""""tooltip"""">industry</span>, which is what construction is, if you think about it. It's all part of the construction industry.""",Know your radicals and you'll know this kanji's meaning.,"""For kanji that use the <span lang=""""ja"""">こう</span> (there are a lot of them!) we will use the character <span lang=""""ja"""">こういち</span> every time. He's one of the people who started this website, so we'll do our best in the mnemonics to embarrass him as much as possible. Anyways, remember that whenever you see <span lang=""""ja"""">こう</span>, think <span lang=""""ja"""">こういち</span>.<br />You see some <span class=""""kanji-highlight"""" title=""""Kanji"""" rel=""""tooltip"""">construction</span> in front of you. There, standing shirtless (only a suspender and hard hat) is (<span lang=""""ja""""><span class=""""reading-highlight"""" title=""""Reading"""" rel=""""tooltip"""">こう</span>いち</span>), looking back at you.""","""If <span lang=""""ja"""">こういち</span> as a construction worker standing in a construction site some how doesn't make your legs tremble, that's okay and totally normal. Do make sure you take this story to a ridiculous enough level to hook a memory into that brain of yours. Be mad at him for not following construction site regulations (where's his shirt, shoes, and pants!?). Why is he using that bulldozer like that?<br />Alternatively, say you really do like what you see (you're going to have to imagine a much better looking version of <span lang=""""ja"""">こういち</span>'s actual face, though). You and <span lang=""""ja"""">こういち</span> make eye contact a little too long. He nods, puts his cigarette out, and takes off his hard hat, letting his long Fabio-esque locks flow. You beckon him over and he comes. What happens next is up to you and your own imagination. My guess is you have a very deep conversation about kanji and the best ways to learn it.<br />Hint: When you see <span lang=""""ja"""">工</span> in a kanji it will often take the <span lang=""""ja"""">こう</span> reading. Remember that, because it comes up quite a bit!""",30,kanji level1
八,Eight,はち,"や, よう",ハ,-,fins,,"""This isn't exactly the same as the <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">fins</span> radical, but it's close. Sometimes this will happen (where we have to use a slightly """"modified radical"""" version of the original), so it's good to understand that now, early on. In this case, we have fins. How many fins? <span class=""""kanji-highlight"""" title=""""Kanji"""" rel=""""tooltip"""">Eight</span> fins. How do you know that? Because you caught four fish with two fins each.""","""Count the fins out in front of you, all the way from one to eight. It'll help if you actually do this. Now smell each fin, and think """"Wow, I have to smell all eight of these?"""" Yes, you do.""","""After you count and smell all <span class=""""kanji-highlight"""" title=""""Kanji"""" rel=""""tooltip"""">eight</span> of your fins, it's time to put them away. You open a large <span class=""""reading-highlight"""" title=""""Reading"""" rel=""""tooltip"""">hatch</span> (<span lang=""""ja"""">はち</span>) and put them in. This is where you keep your fins, always putting in eight at a time because that's what the boss wants.""","You've asked him why you can only put eight fins at a time in the hatch, but he never wants to answer. What could be down in the hole that the hatch covers? Why is there a hatch at all? What's with numbers and hatches being mysterious?",31,kanji level1
入,Enter,にゅう,"はい, い",入,-,enter,,"""The kanji and the radical are the same, so remembering the meaning of this kanji is as simple as making sure you know the radical for <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">enter</span> first! If you know the radical, you know this kanji means <span class=""""kanji-highlight"""" title=""""Kanji"""" rel=""""tooltip"""">enter</span> as well.""","Make sure you know those radicals, yo!","""Turns out, after you <span class=""""kanji-highlight"""" title=""""Kanji"""" rel=""""tooltip"""">Enter</span> the teepee (you'll remember that the radical is a teepee with a big entrance to it), you're given a <span class=""""reading-highlight"""" title=""""Reading"""" rel=""""tooltip"""">new</span> (<span lang=""""ja"""">にゅう</span>) car!""","""Imagine lights turning on and flashing, and an entire audience inside. You're at a gameshow, and the announcer announces the <span class=""""reading-highlight"""" title=""""Reading"""" rel=""""tooltip"""">neeeeew</span> car in his announcey voice. Feel the surprise. Feel the happiness. Feel the excitement. Check the year on the car, too. It's this year! It really is new!""",32,kanji level1
山,Mountain,さん,やま,山,-,mountain,,"""The <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">mountain</span> radical and the <span class=""""kanji-highlight"""" title=""""Kanji"""" rel=""""tooltip"""">mountain</span> kanji are the same.""","Make sure you're studying your radicals. If you are, then you're studying your kanji as well!","""Think about <span class=""""kanji-highlight"""" title=""""Kanji"""" rel=""""tooltip"""">mountains</span> talking to each other, calling each other by their names and adding the Japanese name-ender <span class=""""reading-highlight"""" title=""""Reading"""" rel=""""tooltip"""">san</span> (<span lang=""""ja"""">さん</span>) to each of their names. """"Hello, Everest-<span class=""""reading-highlight"""" title=""""Reading"""" rel=""""tooltip"""">san</span>."""" """"Oh hi, Fuji-<span class=""""reading-highlight"""" title=""""Reading"""" rel=""""tooltip"""">san</span>.""""""","""Be sure to imagine this vividly. The more absurdly you can imagine it, the more likely you are to remember the reading, <span class=""""reading-highlight"""" title=""""Reading"""" rel=""""tooltip"""">san</span>.""",33,kanji level1
口,Mouth,"こう, く",くち,口,-,mouth,,"""The <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">mouth</span> radical and the <span class=""""kanji-highlight"""" title=""""Kanji"""" rel=""""tooltip"""">mouth</span> kanji are exactly the same!""",If you learned your radicals–which the WaniKani system forces you to do (unless you're cheating)–you'll already know the meaning of the kanji.,"""You can't get that <span class=""""kanji-highlight"""" title=""""Kanji"""" rel=""""tooltip"""">mouth</span> out of your mind. Remember seeing the construction worker <span lang=""""ja"""">こういち</span> earlier in the <span lang=""""ja"""">工</span> mnemonic? You can't forget construction worker <span lang=""""ja""""><span class=""""reading-highlight"""" title=""""Reading"""" rel=""""tooltip"""">こう</span>いち</span>'s mouth.""","""You just can't forget all the cool things about kanji learning he said from that mouth. What a cool mouth <span lang=""""ja"""">こういち</span> has. How are the lips of his mouth both so skinny and fat at the same time?""",34,kanji level1
九,Nine,"く, きゅう",ここの,九,-,nine,,"""Nice! This kanji is the same as the radical that looks just like it (down to the meaning, even!). The radical is <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">nine</span> and the kanji is <span class=""""kanji-highlight"""" title=""""Kanji"""" rel=""""tooltip"""">nine</span>, making the meaning of this kanji really easy to remember as long as you know the radical first.""","If you know your radicals well, this kanji will be a breeze!","""Although this kanji has two on'yomi to learn, the pronunciations of those two on'yomi are very similar, so that should make them easier to remember.<br />When you were <span class=""""kanji-highlight"""" title=""""Kanji"""" rel=""""tooltip"""">nine</span> your favorite foods were <span class=""""reading-highlight"""" title=""""Reading"""" rel=""""tooltip"""">coo</span>kies (<span lang=""""ja"""">く</span>) and <span class=""""reading-highlight"""" title=""""Reading"""" rel=""""tooltip"""">cu</span>cumbers (<span lang=""""ja"""">きゅう</span>). Yum yum!""","Picture nine-year-old you, lining up nine cookies and nine cucumbers. You dip a cookie in milk and bite into it, then dip a cucumber in and take a bite. Nine bites each until they're all gone. Ah, you miss being nine.",35,kanji level1
一,One,"いち, いつ",ひと,一,-,ground,,"""Lying on the <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">ground</span> is something that looks just like the ground, the number <span class=""""kanji-highlight"""" title=""""Kanji"""" rel=""""tooltip"""">One</span>. Why is this One lying down? It's been shot by the number two. It's lying there, bleeding out and dying. The number One doesn't have long to live.""","""To remember the meaning of <span class=""""kanji-highlight"""" title=""""Kanji"""" rel=""""tooltip"""">One</span>, imagine yourself there at the scene of the crime. You grab <span class=""""kanji-highlight"""" title=""""Kanji"""" rel=""""tooltip"""">One</span> in your arms, trying to prop it up, trying to hear its last words. Instead, it just splatters some blood on your face. """"Who did this to you?"""" you ask. The number One points weakly, and you see number Two running off into an alleyway. He's always been jealous of number One and knows he can be number one now that he's taken the real number one out.""","""As you're sitting there next to <span class=""""kanji-highlight"""" title=""""Kanji"""" rel=""""tooltip"""">One</span>, holding him up, you start feeling a weird sensation all over your skin. From the wound comes a fine powder (obviously coming from the special bullet used to kill One) that causes the person it touches to get extremely <span class=""""reading-highlight"""" title=""""Reading"""" rel=""""tooltip"""">itchy</span> (<span lang=""""ja"""">いち</span>).""","""Make sure you feel the ridiculously <span class=""""reading-highlight"""" title=""""Reading"""" rel=""""tooltip"""">itchy</span> sensation covering your body. It climbs from your hands, where you're holding the number <span class=""""kanji-highlight"""" title=""""Kanji"""" rel=""""tooltip"""">One</span> up, and then goes through your arms, crawls up your neck, goes down your body, and then covers everything. It becomes uncontrollable, and you're scratching everywhere, writhing on the ground. It's so itchy that it's the most painful thing you've ever experienced (you should imagine this vividly, so you remember the reading of this kanji).""",36,kanji level1
