barb,亅,"""This radical is shaped like a <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">barb</span>. Like the kind you'd see on barb wire. Imagine one of these getting stuck to your arm or your clothes. Think about how much it would hurt with that little hook on the end sticking into you. Say out loud, """"Oh dang, I got a barb stuck in me!""""""",,1,level1 radical
big,大,"""This radical looks just like a stick figure—more specifically, a really <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">big</span> guy with his arms stretched out nice and big. When you see this radical, just think big, because this guy is really BIG!""",,2,level1 radical
construction,工,"""You know those big steel girders that are used for the frame of big buildings? This is like the end of one of those, and have a very distinct shape, just like this radical. These girders are used in construction, which is why this radical means <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">construction</span>. Funny thing is, you use these girders to put together buildings just like you're going to use this radical to put together kanji!""",,3,level1 radical
cross,十,"""This radical looks like a <span lang=""""ja"""">cross</span>. I mean, just look at it. Two bars going through each other = a cross!""",,4,level1 radical
drop,丶,"""This little radical is a <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">drop</span> of water or some other liquid. Notice how it's only one drop? Sometimes radicals or kanji will have more than one drop, so it's important that you know how to tell them apart.""",,5,level1 radical
enter,入,"""Watch out! This isn't the person radical, it's something else. What's the difference? The right side is longer than the left side. And on computers, it usually has that extra part sticking out of the top. It kind of looks like a flap opening to a teepee. And what do you do with an opening? You enter it! That's why this radical is <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">enter</span>.""",,6,level1 radical
fins,ハ,"""Picture a fish. Now picture the fish a little worse, like a child's drawing of the fish. Now erase the fish's body and... you're left with two <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">fins</span>! Do you see these two fins? Yeah, you see them.""",,7,level1 radical
ground,一,"""This radical consists of a single, horizontal stroke. What's the biggest, single, horizontal stroke? That's the <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">ground</span>. Look at the ground, look at this radical, now look at the ground again. Kind of the same, right?""",,8,level1 radical
gun,,"""Doesn't this look like a long <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">gun</span>? You have a shoulder rest and the barrel. Bam bam bam! Imagine looking down its long barrel at a target. Feel the rest on your shoulder. Now that's a nice gun!""","""<i class=""""radical-gun""""></i>""",9,level1 radical
leaf,,"""There's a leaf on top and a stem going down out of it, making it the <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">leaf</span> radical. It looks kind of like a lilypad, sitting on top of the water with its stem going down to the bottom where the dirt is.""","""<i class=""""radical-leaf""""></i>""",10,level1 radical
lid,亠,"""This looks like something you'd put on a kettle or a pot, right? It even has a little handle to make sure you don't burn yourself. This is some kind of <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">lid</span>.""",,11,level1 radical
mountain,山,"""This is a <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">mountain</span>. You'll have to add the lines that make up the top of the mountain if you want it more """"mountain-like."""" Also something that might help: sometimes mountains have a couple of smaller peaks coming out the side of the main peak too. Connect the dots and create the mountain in your mind.""",,12,level1 radical
mouth,口,"""A big, gaping, square hole represents someone opening their giant <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">mouth</span> to tell you something stupid.""",,13,level1 radical
nine,九,"""If you look at this radical in just the right way, you'll notice that it kind of looks like the letters """"n"""" and """"i"""" (the """"i"""" comes from the little flippy-up stroke on the right side). What do the letters """"n"""" and """"i"""" start spelling? Why, the word <span class=""""radical-highlight"""" title=""""Radical"""" rel=""""tooltip"""">nine</span>.""",,14,level1 radical
