"0001","The weather's nice today.","今日 は 天気 が いい です。","きょう は てんき が いい です。","kyō wa teɴki ga ī desu.","[kʲo̞ː ɰɑ te̞ŋkʲi ̥ ɡɑ iː de̞sɯ̥ ||","glossika_0001_en_1573475285927.mp3","glossika_0001_ja.mp3",
"0002","I'm not rich.","私 は お金持ち では ありません。","わたし は おかねもち では ありません。","watashi wa okanemochi dewa arimaseɴ.","[ɰɑtɑɕi ̥ ɰɑ o̞kɑne̞mo̞ʨi ̥ de̞ɰɑ ɑɾimɑse̞ɴ ||","glossika_0002_en_1573475285927.mp3","glossika_0002_ja.mp3",
"0003","This bag's heavy.","この バッグ は 重い です。","この バッグ は おもい です。","kono baggu wa omoi desu.","[ko̞no̞ bɑɡˀɡɯ ɰɑ o̞mo̞i de̞sɯ̥ ||","glossika_0003_en_1573475285927.mp3","glossika_0003_ja.mp3",
"0004","These bags are heavy.","これら の バッグ は 重い です。","これら の バッグ は おもい です。","korera no baggu wa omoi desu.","[ko̞ɾe̞ɾɑ no̞ bɑɡˀɡɯ ɰɑ o̞mo̞i de̞sɯ̥ ||","glossika_0004_en_1573475285927.mp3","glossika_0004_ja.mp3",
"0005","Look, there's my friend.","見て ください、あの人 は 私 の 友達 です。","みて ください、あのひと は わたし の ともだち です。","mite kudasai, anohito wa watashi no tomodachi desu.","[mite̞ kɯdɑsɑi | ɑno̞çi ̥to̞ ɰɑ ɰɑtɑɕi ̥ no̞ to̞mo̞dɑʨi ̥ de̞sɯ̥ ||","glossika_0005_en_1573475285927.mp3","glossika_0005_ja.mp3",
"0006","My brother and I are good tennis players.","私 も 兄 も テニス が 上手 です。","わたし も あに も テニス が じょうず です。","watashi mo ani mo tenisu ga jōzu desu.","[ɰɑtɑɕi ̥ mo̞ ɑni mo̞ te̞nisɯ̥ ɡɑ ʥo̞ːzɯ de̞sɯ̥ ||","glossika_0006_en_1573475285927.mp3","glossika_0006_ja.mp3",
"0007","His mother's at home. He's at school.","彼 の お母さん は 家 に いて、彼 は 学校 に います。","かれ の おかあさん は いえ に いて、かれ は がっこう に います。","kare no okāsaɴ wa ie ni ite, kare wa gakkō ni imasu.","[kɑɾe̞ no̞ o̞kɑːsɑɰ̃ ɰɑ ie̞ ni ite̞ | kɑɾe̞ ɰɑ ɡɑkˀko̞ː ni imɑsɯ̥ ||","glossika_0007_en_1573475285927.mp3","glossika_0007_ja.mp3",
"0008","Her children are at school.","彼女 の 子供 は 学校 に います。","かのじょ の こども は がっこう に います。","kanojo no kodomo wa gakkō ni imasu.","[kɑno̞ʥo̞ no̞ ko̞do̞mo̞ ɰɑ ɡɑkˀko̞ː ni imɑsɯ̥ ||","glossika_0008_en_1573475285927.mp3","glossika_0008_ja.mp3",
"0009","I'm a taxi driver.","私 は タクシードライバー です。","わたし は タクシードライバー です。","watashi wa takushīdoraibā desu.","[ɰɑtɑɕi ̥ ɰɑ tɑkɯ̥ ɕiːdo̞ɾɑibɑː de̞sɯ̥ ||","glossika_0009_en_1573475285927.mp3","glossika_0009_ja.mp3",
"0010","My sister's a nurse.","私 の 妹 は 看護士 です。","わたし の いもうと は かんごし です。","watashi no imōto wa kaɴgoshi desu.","[ɰɑtɑɕi ̥ no̞ imo̞ːto̞ ɰɑ kɑŋɡo̞ɕi ̥ de̞sɯ̥ ||","glossika_0010_en_1573475285927.mp3","glossika_0010_ja.mp3",
"0011","He's sick. He's in bed.","彼 は 風邪 を 引いていて、ベッド で 横 に なって います。","かれ は かぜ を ひいていて、ベッド で よこ に なって いま す。","kare wa kaze o hīteite, beddo de yoko ni natte imasu.","[kɑɾe̞ ɰɑ kɑze̞ o̞ hiːte̞ːte̞ | be̞dˀdo̞ de̞ jo̞ko̞ ni nɑtˀte̞ imɑsɯ̥ ||","glossika_0011_en_1573475285927.mp3","glossika_0011_ja.mp3",
"0012","I'm not hungry, but I'm thirsty.","お腹 は 空いて いません が、喉 が すごく 乾いて います。","おなか は すいて いません が、のど が すごく かわいて い ます。","onaka wa suite imaseɴ ga, nodo ga sugoku kawaite imasu.","[o̞nɑkɑ ɰɑ sɯite̞ imɑse̞ŋ ɡɑ | no̞do̞ ɡɑ sɯɡo̞kɯ̥ kɑɰɑite̞ imɑsɯ̥ ||","glossika_0012_en_1573475285927.mp3","glossika_0012_ja.mp3",
"0013","He's a very old man. He's ninety-eight (98) years old.","彼 は 年 を 取っています。彼 は もう 九十八歳 です。","かれ は とし を とっています。かれ は もう きゅうじゅう はっさい です。","kare wa toshi o totteimasu. kare wa mō kyūjūhassai desu.","[kɑɾe̞ ɰɑ to̞ɕi ̥ o̞ to̞tˀte̞ːmɑsɯ̥ || kɑɾe̞ ɰɑ mo̞ː kʲɯːʥɯːhɑsˀsɑi de̞sɯ̥ ||","glossika_0013_en_1573475285927.mp3","glossika_0013_ja.mp3",
