"彼女はさんざん私の事をののしった。", "She called me many terrible things."
"旧弊な人は新しい事になじめない。", "You can’t teach an old dog new tricks."
"砂糖を少し足して下さい。", "Add a bit of sugar, please. "
"それに私も加えておいて。", "Count me in. "
"私は質問に答えたでしょうか。", "Have I answered your question? "
"あなたがロンドンに着くころ頃には晩秋となっているだろう。", "It will be late autumn when you get to London."
"彼はやろうと志すものは、何でもやり遂げる。", "He accomplishes whatever he sets out to do. "
"台風が東京を襲った。", "The typhoon hit Tokyo. "
"林に竹が目立つ。", "Bamboo stands out in the woods. "
"揚げ物はしばらく避けなさい。", "Avoid fried foods for a while."
"母は日曜日にはクッキーを焼く。", "Mother bakes cookies on Sundays. ▾"
"彼女は喫煙を禁じられた。", "She was prohibited from smoking."
"田中さんはいないです。", "Mr. Tanaka isn’t here."
"彼女は飲酒にふけった。", "She abandoned herself to drinking."
"生きる意味を教えてくれ。", "Tell me the meaning of life."
"虫の音がきこえます。", "I can hear the chirping of insects."
"彼女は事実に基づいて議論を展開する。", "Her argument was founded on fact."
"彼女はその豪華な部屋に目のくらむ思いがした。", "She was dazzled by the gorgeous room."
"油断なく注意さえしておれば好機はおのずからうまれる。", "Plenty of opportunities will present themselves, if only you are awake to them. ▾"
"彼は顎の骨を折って、歯も何本か折れた。", "He got a broken jaw and lost some teeth."
"このコーヒーはこげた味がする。", "This coffee tastes burnt."
"風邪が治るのに長くかかった。", "It took me a long time to get over my cold."
"話は決まった。", "Let’s leave it at that."
"毎日同じ教室を２つの異なった生徒達の集団で使っているのです。", "We use the same classroom for two different groups of students each day."
"運んできてくれたランチは噂に違わず旨",""
"私は少し酔っている。", "I am a bit drunk. "
"必要を満たすに足りる収入。", "An income adequate for one’s needs."
"彼は次の旅行の事を考えると、ドキドキする。", "Whenever he thinks of the trip he’s got coming up, he gets all excited. "
"明日の朝起きたらすてきなものが見つかるよ。", "When you wake up tomorrow morning, you will find a wonderful thing. ▾"
"彼女がワインをからにしたのにはたまげた。", "I was amazed that she had drunk all of the wine."
"喜んで行きます。", "I’ll be glad to come. "
"会社をクビになったけど、貯金がすこしあるので、差し詰め生活には困らない。", "I got fired from the company, but since I have a little money saved up, for the time being, I won’t have trouble with living expenses."
"列車は雪のため遅れた。", "The train was delayed by snow."
"彼は勉強を怠けている。", "He is lazy in his study."
"欲に目がくらんで判断力が無くなったらしい。", "Greed seems to have blinded his good judgement."
"トムは知らない人に混じって居心地が悪かった。", "Tom is ill at ease among strangers."
"きれい好きは敬神に次ぐ美徳。", "Cleanliness is next to godliness."
"緊張する必要はありまんせん",."There’s no need to be nervous."
"彼はモテる。", "He’s popular with the ladies."
"この商売は儲かりません。", "There isn’t much money in this business"
"彼は森で迷った。", "He lost his way in the woods."
"春の雨が花に生気をよみがえらせた。", "A spring rain revived the flower."
"悲しんでいる彼女をそっとしておきなさい。", "Don’t intrude on her sorrow."
"彼は借金がたまって夜逃げ同然に町を去った。", "He was deeply in debt. And he and his family skipped town. ▾"
"彼女はすべらないようにゆっくりと歩いた。", "She walked slowly so she wouldn’t slip. ▾"
"トムは驚いた。", "Tom was shocked. "
"モロに見える。", "It’s completely visible."
"セーラは恨むような女の子ではないだろうが。", "Well, I don’t think Sara is the sort of girl to bear grudges. "
"春になった。", "Spring is here. "
"くの物がかすんで見えます。", "Distant things look blurred. "
"The", "train is very crowded this evening."
"月が雲のかげから現れた。", "The moon emerged from behind the cloud. "
"乾いた砂は水を吸い込む。", "Dry sand absorbs water. "
"お腹は空いていますか？", "Are you hungry? "
"背中が痛む。", "My back hurts. "
"今何が流行っていますか。", "What is popular now? "
"年をとると共に、情熱は薄れるが、身についた習慣は強まるものだ。", "Passions weaken, but habits strengthen, with age. "
"それが濡れている", "That is wet. "
"映画が始まります。", "The movie starts. "
"僕",(")は君()を信()じる。 I believe you."
"その運転選手は決して相手をみくびるようなことはしない。", "The student insulted the teacher. "
"体を捻ってから下までしゃがみます。", "After twisting your body, squat down. "
"あなたの犬は噛む？", "Does your dog bite? "
"花は咲く。", "Flowers bloom. "
"風が吹く。", "The wind blows. "
"バスに乗",(")りなさい。 Take a bus."
"彼はいつもいばりちらしています。", "He is always throwing his weight around. "
"ペン借りていい？", "Can I borrow your pen? "
"シャワーが壊れた。", "The shower is broken. "
"酸素は私たちが呼吸すると肺の中に取り込まれる。", "Oxygen is taken into our lungs when we breathe. "
"お茶が切れています。", "We’ve run out of tea. "
"誰が立てたのですか。", "Who built it? "
"焼けるように熱い。", "It is broiling hot. "
"これを買います。", "I’ll buy this. "
"警察を呼んで！", "Call the police "
"後で電話して",!" Call me later! "
"ボブは料理ができる。", "Bob can cook. "
"お体にお気を付けください。", "Please take care of yourself. "
"どっちでも構いません。", "It doesn’t matter. "
"これを運んでください。", "Carry this for me."
"彼は肩に銃を担いだ。", "He carried a rifle on his shoulder. "
"ドアに指をはさみました。", "I caught my finger in the door."
"七夕は七月に祝う。", "We celebrate the Star Festival in July. "
"老人が考えを変えるのは難しい。", "It is hard for an old man to change his way of thinking."
"流行はすぐ変わります。", "Fashions change quickly. "
"あの車を追ってくれ。", "Follow that car."
"僕たちの計画を誰にもしゃべるな。", "Don’t mention our plan to anybody."
"私はその事件を調べた。", "I looked into the incident. "
"食物をよくかみなさい。", "Chew your food well. "
"これを選びます。", "This is my choice "
"この点で私たちの意見が食い違うのは確かだ。", "It is on this point that our opinions differ. "
"空が晴れた。", "The sky has become clear."
"猿は木に登る。", "Monkeys climb trees. "
"ドアが閉まるの聞こえた。", "I heard the door close. "
"壁が地震で崩れた。", "The wall gave way in the earthquake. "
"来られますか。", "Can you come? "
"彼の話は要点をはずれている。", "His talk is off the point. "
"靴紐が解けていますよ。", "Your shoes are untied. "
"私は彼女を慰めることができる。", "I can comfort her. "
"彼は私にそれをするように言いつけた。", "He told me to do it. "
"兵庫大学に通っています。", "I go to Hyogo University. "
"ロンドンは東京に比べて小さい。", "London is smaller than Tokyo. "
"文句を言うな。", "Don’t complain. "
"彼は息を凝らしてその光景を見つめていた。", "He was watching the scene with breathless interest. "
"彼は犬を木につないだ。", "He tied the dog to a tree."
"手紙で連絡してください。", "Please contact me by letter. "
"ぜひ練習",(")を続()けなさい。 Do keep practicing!"
"吹雪が続いた。", "The snowstorm continued."
"今晩は私が料理します。", "I’ll cook for you tonight. "
"頭を冷やせよ。", "Calm down. "
"今夜は冷えるでしょう。", "It will cool down tonight. "
"３０まで数えなさい。", "Count up to thirty. "
"通りを渡れ。", "Cross the street. "
"彼は４０歳を越している。", "He is past forty. "
"愛は人の心を砕くこともできるのさ。", "But love can break your heart."
"鳥は鳴く。", "Birds sing."
"それを半分にきりなさい。", "Cut it in half. "
"私も踊るのが好きです。", "I like dancing too. "
"君達はいつからつきあっているのですか。", "How long have you been dating? "
"牛乳が腐った。", "The milk has gone bad. "
"彼は年齢を偽った。", "He lied about his age. "
"決めました。", "I made my decision. "
"それは法律が定めていることである。", "It is what the law ordains."
"話はかわりますが。", "To change the subject. "
"この町の人口は減った。", "The population of this city has decreased. "
"チェスで人を負かす。", "Beat a person at chess. "
"日曜日に配達していますか。", "Do you deliver on Sundays? "
"に頼るな。", "Don’t rely on him. "
"その物体がどんな物か言い表す事が出来ますか。", "Can you describe the object?"
"酒で彼は身を崩した。", "Drink brought about his downfall. "
"彼は酒で身を滅ぼした。", "Drinking was his ruin."
"退屈で死にそうだ。", "I am bored to death. "
"彼は穴をほった。", "He dug a hole. "
"虚心坦懐に話し合った。", "We talked quite frankly."
"猫はぬれるのを嫌がる。", "Cats dislike being wet. "
"それを３人の間で分けよ。", "Divide it among the three."
"どちらかといえば彼とは離婚したい。",""
"ログアウトするんじゃなかったよ。", "I shouldn’t have logged off."
"やりますか。", "Will you do it?"
"彼は一生懸命がんばる。", "He tries hard. "
"このプログラムを持っていないならば、今ダウンロードすることができます。", "If you do not have this program, you can download it now. "
"疑う余地はない。", "There is no room for doubt."
"彼はよく風景を描く。", "He often paints landscapes. "
"コーヒーを飲むの？", "Do you drink coffee? "
"安全運転してね。", "Drive safely. "
"どうして髪を乾かしているの。", "Why are you drying your hair? "
"蒲団を干して下さい。", "Air the futon."
"食べたの？", "Have you eaten? "
"彼女のドレスはにじの色のほとんどがそろっている。", "Her dresses show most of the hues of the rainbow. "
"後でちゃんと調べてメールする。", "I will email you after I check it thoroughly. "
"彼は彼女をしっかりと抱いた。", "He held her tightly. "
"僕が彼を励ましに行こう。", "I will go to encourage him. "
"いつ終わるの？", "When’s it over? "
"楽しんでね。", "Have a good time. "
"お入りください。", "Come in."
"優れたコンピューターでもチェスではあなたを負かせない。", "Even a good computer cannot beat you at chess. ▾"
"毎日運動するようにする。", "Exercise every day. "
"彼らは欠陥テレビを新しいのと取りかえた。", "They replaced the defective TV with a new one."
"彼におおいに期待している。", "I expect a lot from him. "
"ひどい目にあった。", "I had a terrible experience. "
"詳しく説明してください。", "Please explain in detail. "
"金を出しなさい。", "Get out your money. "
"彼は家に向かった。", "He made for home. "
"彼は多分失敗するだろう。", "He will probably fail. "
"彼は眠っている。", "He’s asleep. "
"赤ん坊はよく転ぶ。", "Babies often fall down. "
"木が倒れた。", "The tree fell down."
"雪が降った。", "It snowed. "
"君に惚れてる。", "I’m falling in love with you. "
"温度が下がる。", "The temperature falls. "
"葉が落ちた。", "The leaves fell. "
"おばあさんは必ずおならをする。", "The old lady is bound to fart. "
"彼女は吠える犬を怖がる。", "She is afraid of barking dogs."
"恐れるな。", "Don’t be afraid. "
"雨の日は気がめいるよ。", "Rainy days make me depressed. "
"船が沈んでいく。", "The ship is sinking. "
"顔がほてります。", "My cheeks burn."
"生を感じる。", "I feel alive."
