word-kanji,word-kana,meaning,grammar,sentence-1-kanji,sentence-1-kana,sentence-1-meaning,sentence-2-kanji,sentence-2-kana,sentence-2-meaning,audio-word,audio-sentence-1,audio-sentence-2

"行く","行く","いく","go","verb","日曜日は図書館に行きます。","にちようび は としょかん に いきます","I go to the library on Sundays.","私は夏休みにプールに行った。","わたし は なつやすみ に プール に いった。","I went to the pool during summer vacation.","[sound:C1K-P01-001.mp3]","[sound:C1K-P01-002.mp3]","[sound:C1K-P01-003.mp3]"
"見る","見る","みる","see, look at","verb","私は絵を見るのが好きです。","わたし は え を みる の が すき です。","I like looking at pictures.","仕事のあと、映画を見た。","しごと の あと、 えいが を みた。","I saw a movie after work.","[sound:C1K-P01-004.mp3]","[sound:C1K-P01-005.mp3]","[sound:C1K-P01-006.mp3]"
"多い","多い","おおい","a lot of, many","adjective","京都にはお寺が多い。","きょうと に は おてら が おおい。","There are a lot of temples in Kyoto.","この道は車が多い。","この みち は くるま が おおい。","There are many cars on this road.","[sound:C1K-P01-007.mp3]","[sound:C1K-P01-008.mp3]","[sound:C1K-P01-009.mp3]"
"家","家","うち","home, household","noun","家に遊びにきてください。","うち に あそび に きて ください。","Please come over to my home.","夏休みにお祖母ちゃんの家へ行きました。","なつやすみ に おばあちゃん の うち へ いきました。","I went to my grandma's house during summer vacation.","[sound:C1K-P01-010.mp3]","[sound:C1K-P01-011.mp3]","[sound:C1K-P01-012.mp3]"
"これ","これ","これ","this, this one","pronoun","これをください。","これ を ください。","I'll have this please.","これはあなたの鞄ですか。","これ は あなた の かばん です か。","Is this your bag?","[sound:C1K-P01-013.mp3]","[sound:C1K-P01-014.mp3]","[sound:C1K-P01-015.mp3]"
"それ","それ","それ","that, that one","pronoun","それはとてもいい話だ。","それ は とても いい はなし だ。","That's a really nice story.","それを一つください。","それ を ひとつ ください。","Please give me that one.","[sound:C1K-P01-016.mp3]","[sound:C1K-P01-017.mp3]","[sound:C1K-P01-018.mp3]"
"私","私","わたし","I (general)","pronoun","私が行きましょう。","わたし が いきましょう。","I'll go.","私は毎朝コーヒーを飲みます。","わたし は まいあさ コーヒー を のみます。","I drink coffee every morning.","[sound:C1K-P01-019.mp3]","[sound:C1K-P01-020.mp3]","[sound:C1K-P01-021.mp3]"
"仕事","仕事","しごと","work, job","verbal noun","3月は仕事が忙しい。","3 がつ は しごと が いそがしい。","I'm busy at work in March.","仕事のあと、映画を見た。","しごと の あと、 えいが を みた。","I saw a movie after work.","[sound:C1K-P01-022.mp3]","[sound:C1K-P01-023.mp3]","[sound:C1K-P01-024.mp3]"
"いつ","いつ","いつ","when","interrogative","彼女はいつ来ますか。","かのじょ は いつ きます か。","When is she coming?","次はいつ会いましょうか。","つぎ は いつ あいましょう か。","When shall we meet again?","[sound:C1K-P01-025.mp3]","[sound:C1K-P01-026.mp3]","[sound:C1K-P01-027.mp3]"
"する","する","する","do, make","verb","友達と一緒に宿題をした。","ともだち と いっしょ に しゅくだい を した。","I did my homework with my friend.","男の子たちがサッカーをしている。","おとこのこ たち が サッカー を して いる 。","The boys are playing soccer.","[sound:C1K-P01-028.mp3]","[sound:C1K-P01-029.mp3]","[sound:C1K-P01-030.mp3]"
